pool,category,name,x,y,z
3,RecallObject,Cooler(Clone),-97.2453,-2.1679,11.0515
3,RecallObject,old tv(Clone),3.5584,-3.0329,51.7463
3,RecallObject,AC_doutdoor(Clone),-24.8189,-3.3944,38.7895
3,RecallObject,SM_Light_Stand_01a(Clone),-88.8947,-1.9381,0.8509
3,RecallObject,Pipes_05(Clone),-54.8384,-0.7234,67.8543
3,RecallObject,round_wooden_table_cloth.smd_4(Clone),-121.5329,-1.3289,24.7612
3,RecallObject,Shelves_02(Clone),-105.4964,-1.3512,20.9780
3,RecallObject,Tree S1 (This one)(Clone),18.6116,-3.8587,21.3606
3,RecallObject,Crate_01(Clone),-115.3982,-1.3098,-5.2971
4,Target,Gem(Clone),-6.2965,-2.2664,7.1281
4,Target,Gem(Clone),21.1974,-3.2450,19.4476
4,Target,Gem(Clone),-95.8535,-1.7517,16.2722
4,Target,Gem(Clone),-116.9219,-1.3314,0.5579
4,Target,Gem(Clone),-30.3645,-2.0676,1.8964
4,Target,Gem(Clone),-123.2352,-1.1460,21.6206
4,Target,Gem(Clone),-91.8946,-2.4734,41.2551
4,Target,Gem(Clone),-6.6824,-2.0882,53.8803
4,Target,Gem(Clone),-30.7886,-0.8895,58.4491
4,Target,Gem(Clone),7.5674,-3.4787,38.5698
4,Target,Gem(Clone),-64.2678,-2.4132,20.4713
4,Target,Gem(Clone),-131.3985,-0.9895,59.9344
4,Target,Gem(Clone),-51.1001,-2.1927,3.2011
4,Target,Gem(Clone),-57.0540,-2.7669,43.9094
4,Target,Gem(Clone),-93.8994,-1.4905,-6.1971
4,Target,Gem(Clone),-112.5802,-1.1038,45.1231
4,Target,Gem(Clone),-36.8009,-2.7252,20.2706
4,Target,Gem(Clone),-50.5561,-0.6860,64.6529
4,Target,Gem(Clone),-77.2283,-1.7755,49.1010
4,Target,Gem(Clone),3.5494,-2.9615,20.5463
4,RecallObject,Japanese Vending Machine(Clone),-9.7946,-3.6881,36.5427
4,RecallObject,Beach Chair(Clone),23.8816,-3.9113,41.7783
4,RecallObject,(Table 1) Plane.093(Clone),-29.5099,-3.5264,38.3114
4,RecallObject,Mailbox(Clone),-114.9995,-1.8675,-14.9005
4,RecallObject,(Box 3) Cube.092(Clone),-111.4555,-1.4911,13.8778
4,RecallObject,(Barrel 2) Cylinder.015(Clone),11.8501,-3.1852,55.2892
4,RecallObject,IndusLight_01(Clone),-115.8527,-0.5637,59.5916
4,RecallObject,Locker_01(Clone),-10.8876,-2.4612,19.8870
4,RecallObject,square_wooden_table_cloth.smd_8(Clone),-104.1859,0.1779,64.8924
4,RecallObject,House Plant(Clone),-52.8484,-2.9570,17.8614
4,RecallObject,44_mango(Clone),-61.9813,-0.8569,65.2328
4,RecallObject,Treadmill(Clone),-104.3561,-1.8389,-5.3943
4,RecallObject,09_pepper(Clone),-14.2014,-2.3281,-0.1272
4,RecallObject,Pipes_06(Clone),-107.0726,-1.3261,54.5743
4,RecallObject,12_potato(Clone),-84.2560,-2.2628,12.2989
